start,end,duration,total_rain
2019-06-13 19:04:00,2019-06-13 19:32:00,43,26.657999999999994
2019-06-13 23:20:00,2019-06-13 23:39:00,34,76.66400000000002
2019-06-14 15:30:00,2019-06-14 16:12:00,57,76.66300000000001
2019-06-15 06:54:00,2019-06-15 10:57:00,258,236.66700000000003
2019-06-15 15:31:00,2019-06-15 16:50:00,94,29.992999999999995
2019-06-19 06:17:00,2019-06-19 08:15:00,133,80.00399999999999
2019-06-19 19:49:00,2019-06-19 20:31:00,57,36.677
2019-07-01 10:24:00,2019-07-01 10:45:00,36,16.666
2019-07-04 16:26:00,2019-07-04 21:22:00,311,63.318999999999996
2019-07-06 02:44:00,2019-07-06 08:45:00,376,73.296
2019-07-12 01:38:00,2019-07-12 04:45:00,202,30.017999999999997
2019-07-12 06:02:00,2019-07-12 06:30:00,43,53.328
2019-07-20 16:32:00,2019-07-20 17:28:00,71,73.332
2019-07-22 11:20:00,2019-07-22 13:32:00,147,33.337
2019-07-22 14:46:00,2019-07-22 16:11:00,100,16.677
2019-07-31 14:29:00,2019-07-31 16:42:00,148,86.64800000000002
2019-07-31 18:06:00,2019-07-31 18:45:00,54,13.319000000000003
2019-08-01 10:04:00,2019-08-01 12:00:00,131,59.983000000000004
2019-08-01 17:17:00,2019-08-01 17:49:00,47,46.664
2019-08-06 02:01:00,2019-08-06 02:56:00,70,83.32499999999999
2019-08-07 13:12:00,2019-08-07 13:42:00,45,100.00300000000001
2019-08-07 15:13:00,2019-08-07 16:45:00,107,226.689
2019-08-10 08:44:00,2019-08-10 09:48:00,79,203.33499999999998
2019-08-10 13:03:00,2019-08-10 14:19:00,91,36.63999999999999
2019-08-11 02:48:00,2019-08-11 03:33:00,60,26.668
2019-08-12 10:59:00,2019-08-12 11:24:00,40,50.001999999999995
2019-08-13 02:05:00,2019-08-13 04:40:00,170,246.68400000000003
2019-08-14 09:53:00,2019-08-14 10:10:00,32,16.666
2019-08-15 06:26:00,2019-08-15 07:33:00,82,23.339000000000002
2019-08-15 16:21:00,2019-08-15 20:06:00,240,76.711
2019-08-17 02:42:00,2019-08-17 09:23:00,416,143.323
2019-08-17 21:51:00,2019-08-17 22:32:00,56,33.335
2019-08-18 11:29:00,2019-08-18 13:40:00,146,23.317
2019-08-19 10:17:00,2019-08-19 11:08:00,66,139.993
2019-08-31 23:57:00,2019-09-01 01:12:00,90,120.00699999999999
2019-09-03 01:38:00,2019-09-03 03:44:00,141,60.023
2019-09-03 05:02:00,2019-09-03 05:52:00,65,33.34
2019-09-03 11:10:00,2019-09-03 12:09:00,74,13.346
2019-09-04 15:08:00,2019-09-04 19:56:00,303,149.99200000000002
2019-09-04 21:24:00,2019-09-04 22:19:00,70,63.333999999999996
2019-09-05 04:16:00,2019-09-05 04:55:00,54,13.326000000000004
2019-09-05 07:04:00,2019-09-05 07:59:00,70,30.0
2019-09-06 12:52:00,2019-09-06 19:14:00,397,223.337
2019-09-06 20:37:00,2019-09-06 22:16:00,114,26.655
2019-09-09 11:42:00,2019-09-09 13:41:00,134,49.986000000000004
2019-09-09 14:53:00,2019-09-09 19:25:00,287,63.31500000000001
2019-09-09 20:26:00,2019-09-09 21:11:00,60,10.012
2019-09-09 22:21:00,2019-09-10 01:55:00,229,129.97500000000002
2019-09-10 03:36:00,2019-09-10 13:38:00,617,256.63100000000003
2019-09-11 12:54:00,2019-09-11 17:16:00,277,86.65200000000002
2019-09-11 18:44:00,2019-09-11 19:31:00,62,16.674999999999997
2019-09-13 00:58:00,2019-09-13 01:59:00,76,19.987
2019-09-25 19:07:00,2019-09-25 20:20:00,88,10.012
2019-09-26 18:36:00,2019-09-26 20:21:00,120,19.991000000000003
2019-09-26 23:59:00,2019-09-27 03:37:00,233,49.995000000000005
2019-09-27 04:45:00,2019-09-27 06:47:00,137,160.03000000000003
2019-09-27 12:38:00,2019-09-27 12:57:00,34,46.669000000000004
2019-09-28 11:21:00,2019-09-28 13:19:00,133,76.64200000000001
2019-09-28 14:58:00,2019-09-28 16:36:00,113,16.636
2019-09-28 17:51:00,2019-09-28 19:36:00,120,109.99999999999997
2019-09-29 09:19:00,2019-09-29 10:40:00,96,33.32300000000001
2019-09-29 16:10:00,2019-09-29 20:54:00,299,83.31
2019-09-30 02:34:00,2019-09-30 05:14:00,175,63.31
2019-10-02 14:58:00,2019-10-02 16:20:00,97,40.003
2019-10-08 01:29:00,2019-10-08 07:05:00,351,170.023
2019-10-08 22:34:00,2019-10-09 01:23:00,184,96.661
2019-10-09 13:25:00,2019-10-09 14:05:00,55,79.994
2019-10-09 17:02:00,2019-10-09 18:04:00,77,80.001
2019-10-11 01:12:00,2019-10-11 02:24:00,87,26.665
2019-10-11 03:57:00,2019-10-11 06:41:00,179,166.703
2019-10-11 11:46:00,2019-10-11 13:21:00,110,46.67499999999999
2019-10-11 14:41:00,2019-10-11 22:34:00,488,446.668
2019-10-12 12:00:00,2019-10-12 12:18:00,33,36.667
2019-10-13 14:18:00,2019-10-13 20:11:00,368,269.974
2019-10-14 22:37:00,2019-10-14 23:16:00,54,33.324
2019-10-16 05:46:00,2019-10-16 10:23:00,292,76.65
2019-10-17 02:35:00,2019-10-17 08:36:00,376,93.33
2019-10-18 01:11:00,2019-10-18 02:53:00,117,23.326999999999998
2019-10-18 15:36:00,2019-10-18 16:18:00,57,63.339000000000006
2019-10-18 19:24:00,2019-10-18 20:20:00,71,33.345
2019-10-19 17:13:00,2019-10-19 19:51:00,173,46.656
2019-10-21 07:12:00,2019-10-21 09:49:00,172,26.639000000000003
2019-10-21 12:15:00,2019-10-21 14:45:00,165,19.977000000000004
2019-10-26 02:59:00,2019-10-26 04:19:00,95,23.311000000000003
2019-10-26 22:12:00,2019-10-27 00:45:00,168,33.307
2019-10-27 10:27:00,2019-10-27 11:04:00,52,20.0
2019-10-27 20:32:00,2019-10-27 21:24:00,67,10.007000000000001
2019-11-01 16:58:00,2019-11-01 22:45:00,362,53.32900000000001
2019-11-02 01:53:00,2019-11-02 03:16:00,98,16.662
2019-11-02 09:39:00,2019-11-02 14:03:00,279,76.667
2019-11-04 04:28:00,2019-11-04 06:40:00,147,23.345000000000002
2019-11-04 09:51:00,2019-11-04 19:08:00,572,106.648
2019-11-05 00:58:00,2019-11-05 08:50:00,487,69.997
2019-11-07 23:00:00,2019-11-08 01:58:00,193,69.99600000000001
2019-11-15 18:19:00,2019-11-15 20:51:00,167,43.316
2019-11-16 09:56:00,2019-11-16 10:41:00,60,10.012
2019-11-16 11:46:00,2019-11-16 14:13:00,162,36.662
2019-11-16 15:40:00,2019-11-16 22:45:00,440,103.29000000000002
2019-11-17 20:23:00,2019-11-17 22:00:00,112,36.657000000000004
2019-11-18 18:34:00,2019-11-18 20:06:00,107,16.662000000000003
2019-11-18 21:18:00,2019-11-18 22:04:00,61,13.325999999999999
2019-11-20 14:23:00,2019-11-20 15:40:00,92,13.328
2019-11-20 19:33:00,2019-11-20 20:48:00,90,23.318000000000005
2019-11-22 04:33:00,2019-11-22 05:32:00,74,13.329
2019-11-25 22:19:00,2019-11-26 00:09:00,125,20.0
2019-11-27 12:16:00,2019-11-27 13:08:00,67,23.33
2019-11-27 16:14:00,2019-11-27 18:11:00,132,23.326999999999998
2019-11-28 02:41:00,2019-11-28 07:15:00,289,60.038999999999994
2019-11-28 08:32:00,2019-11-28 10:47:00,150,16.663
2019-11-28 12:13:00,2019-11-28 13:18:00,80,10.015999999999998
2019-12-05 23:20:00,2019-12-06 00:48:00,103,13.318000000000001
2019-12-08 06:35:00,2019-12-08 08:32:00,132,40.004
2019-12-08 13:14:00,2019-12-08 14:26:00,87,36.69199999999999
2019-12-08 21:05:00,2019-12-09 00:20:00,210,46.650999999999996
2019-12-09 08:44:00,2019-12-09 10:09:00,100,46.648
2019-12-09 11:39:00,2019-12-09 12:51:00,87,46.662
2019-12-10 21:25:00,2019-12-10 22:54:00,104,40.004000000000005
2019-12-11 04:25:00,2019-12-11 06:22:00,132,43.326
2019-12-14 01:35:00,2019-12-14 04:45:00,205,23.362999999999996
2019-12-14 05:55:00,2019-12-14 06:59:00,79,13.322999999999999
2019-12-14 11:01:00,2019-12-14 11:44:00,58,20.0
2019-12-14 15:51:00,2019-12-14 17:56:00,140,43.31399999999999
2019-12-15 07:44:00,2019-12-15 10:23:00,174,79.987
2019-12-15 13:06:00,2019-12-15 16:52:00,241,83.32900000000001
2019-12-17 02:51:00,2019-12-17 07:11:00,275,49.978
2019-12-17 22:57:00,2019-12-18 00:31:00,109,29.991999999999997
2019-12-20 21:12:00,2019-12-21 00:06:00,189,86.66900000000001
2019-12-22 22:29:00,2019-12-22 23:21:00,67,10.003
2019-12-23 04:18:00,2019-12-23 05:26:00,83,16.663999999999998
2020-01-03 09:27:00,2020-01-03 11:42:00,150,13.322
2020-01-04 06:14:00,2020-01-04 08:41:00,162,90.0
2020-01-09 09:03:00,2020-01-09 15:06:00,378,146.64000000000001
2020-01-10 04:25:00,2020-01-10 08:18:00,248,106.67599999999999
2020-01-10 09:33:00,2020-01-10 12:05:00,167,26.644
2020-01-12 03:55:00,2020-01-12 18:19:00,879,223.257
2020-01-14 04:14:00,2020-01-14 09:00:00,301,120.017
2020-01-14 19:00:00,2020-01-14 19:51:00,66,10.011
2020-01-15 07:10:00,2020-01-15 08:20:00,85,16.65
2020-01-15 14:12:00,2020-01-15 18:28:00,271,66.652
2020-01-17 19:38:00,2020-01-17 21:33:00,130,13.376
2020-01-18 14:25:00,2020-01-18 15:08:00,58,23.334
2020-01-27 05:55:00,2020-01-27 07:39:00,119,13.315999999999997
2020-01-28 06:12:00,2020-01-28 09:17:00,200,40.019
2020-01-30 00:38:00,2020-01-30 06:16:00,353,103.32399999999998
2020-01-30 20:09:00,2020-01-31 00:04:00,250,69.99000000000001
2020-01-31 13:33:00,2020-01-31 16:09:00,171,16.669999999999998
2020-02-01 00:13:00,2020-02-01 02:43:00,165,39.980999999999995
2020-02-09 08:50:00,2020-02-09 13:23:00,288,96.61399999999999
2020-02-09 14:43:00,2020-02-09 19:50:00,322,229.987
2020-02-10 07:30:00,2020-02-10 07:49:00,34,16.669
2020-02-10 15:06:00,2020-02-10 17:03:00,132,33.329
2020-02-10 19:15:00,2020-02-10 20:01:00,61,16.667
2020-02-10 21:36:00,2020-02-10 21:56:00,35,23.327
2020-02-10 23:06:00,2020-02-10 23:44:00,53,19.989
2020-02-11 01:56:00,2020-02-11 03:38:00,117,19.997
2020-02-11 05:06:00,2020-02-11 08:01:00,190,53.30700000000001
2020-02-11 15:57:00,2020-02-11 18:13:00,151,93.33000000000001
2020-02-11 22:52:00,2020-02-11 23:20:00,43,20.003
2020-02-12 07:24:00,2020-02-12 08:39:00,90,53.351
2020-02-12 11:08:00,2020-02-12 11:52:00,59,19.997000000000003
2020-02-12 14:41:00,2020-02-12 16:43:00,137,33.346
2020-02-13 20:35:00,2020-02-13 22:02:00,102,13.318999999999999
2020-02-15 03:14:00,2020-02-15 07:42:00,283,69.982
2020-02-15 23:06:00,2020-02-16 00:25:00,94,23.332
2020-02-16 09:34:00,2020-02-16 13:21:00,242,83.339
2020-02-16 15:35:00,2020-02-16 22:04:00,404,213.311
2020-02-18 09:27:00,2020-02-18 10:25:00,73,16.661
2020-02-18 22:34:00,2020-02-19 03:14:00,295,193.327
2020-02-19 04:17:00,2020-02-19 04:42:00,40,19.997
2020-02-20 05:42:00,2020-02-20 10:00:00,273,86.64200000000001
2020-02-20 13:25:00,2020-02-20 16:59:00,229,33.332
2020-02-20 18:29:00,2020-02-20 21:45:00,211,99.989
2020-02-21 17:31:00,2020-02-21 18:39:00,83,10.009
2020-02-22 02:34:00,2020-02-22 11:49:00,570,206.61200000000002
2020-02-23 11:42:00,2020-02-23 13:48:00,141,26.654000000000003
2020-02-24 16:30:00,2020-02-24 20:21:00,246,43.33
2020-02-24 22:09:00,2020-02-25 00:13:00,139,23.319
2020-02-25 12:13:00,2020-02-25 12:40:00,42,16.667
2020-02-27 12:38:00,2020-02-27 12:54:00,31,16.664
2020-02-27 13:55:00,2020-02-27 15:07:00,87,16.694000000000003
2020-02-28 00:30:00,2020-02-28 01:10:00,55,19.998
2020-02-29 07:32:00,2020-02-29 11:32:00,255,66.679
2020-02-29 18:05:00,2020-02-29 19:25:00,95,56.656
2020-02-29 22:59:00,2020-02-29 23:59:00,75,16.661
2020-03-03 09:41:00,2020-03-03 11:36:00,130,33.352000000000004
2020-03-08 19:21:00,2020-03-08 20:11:00,65,16.672
2020-03-09 03:14:00,2020-03-09 04:51:00,112,16.66
2020-03-10 04:58:00,2020-03-10 08:01:00,198,33.37100000000001
2020-03-10 14:32:00,2020-03-10 18:01:00,224,143.334
2020-03-12 03:56:00,2020-03-12 04:45:00,64,36.669000000000004
2020-03-12 06:08:00,2020-03-12 08:29:00,156,19.967
2020-03-12 17:19:00,2020-03-12 17:35:00,31,20.005000000000003
2020-03-13 08:23:00,2020-03-13 08:42:00,34,43.336
2020-03-16 02:59:00,2020-03-16 04:03:00,79,16.682000000000002
2020-03-18 07:01:00,2020-03-18 08:06:00,80,13.32
2020-03-29 01:14:00,2020-03-29 02:48:00,109,53.346999999999994
2020-04-27 08:27:00,2020-04-27 08:43:00,31,13.337000000000002
2020-04-29 11:12:00,2020-04-29 15:49:00,292,146.642
2020-04-30 04:39:00,2020-04-30 10:08:00,344,203.335
2020-04-30 14:59:00,2020-04-30 15:20:00,36,63.334
2020-05-01 07:00:00,2020-05-01 09:42:00,177,49.973
2020-05-02 02:15:00,2020-05-02 03:36:00,96,66.69200000000001
2020-05-02 16:40:00,2020-05-02 17:48:00,83,23.326
2020-05-12 13:38:00,2020-05-12 13:56:00,33,50.001000000000005
2020-05-13 02:42:00,2020-05-13 03:44:00,77,16.658
2020-05-17 16:58:00,2020-05-17 19:23:00,160,20.003999999999998
2020-05-18 08:39:00,2020-05-18 10:02:00,98,10.006999999999998
2020-05-22 13:28:00,2020-05-22 20:18:00,425,326.687
2020-06-04 12:52:00,2020-06-04 18:20:00,343,153.35399999999998
