start,end,duration
2012-04-29 15:09:00,2012-05-08 18:41:00,13232.0
2012-05-11 14:08:00,2012-05-15 15:18:00,5890.0
2012-05-17 03:45:00,2012-05-19 02:04:00,2839.0
2012-05-19 17:15:00,2012-06-06 17:17:00,25982.0
2012-06-07 06:25:00,2012-06-08 00:33:00,1148.0
2012-06-09 02:39:00,2012-06-09 11:02:00,563.0
2012-06-10 02:54:00,2012-06-10 05:05:00,191.0
2012-06-10 22:37:00,2012-06-12 09:57:00,2180.0
2012-06-13 01:19:00,2012-06-15 15:03:00,3764.0
2012-06-17 22:49:00,2012-06-18 09:59:00,730.0
2012-06-19 06:09:00,2012-06-22 00:02:00,4013.0
2012-06-23 04:48:00,2012-06-23 07:45:00,237.0
2012-06-24 00:18:00,2012-06-24 05:45:00,387.0
2012-06-25 05:02:00,2012-06-25 06:53:00,171.0
2012-06-26 00:19:00,2012-06-29 03:33:00,4574.0
2012-06-30 22:59:00,2012-07-01 02:33:00,274.0
2012-07-01 17:11:00,2012-07-06 08:35:00,6744.0
2012-07-07 00:37:00,2012-07-08 16:10:00,2433.0
2012-07-10 07:07:00,2012-07-11 07:06:00,1499.0
2012-07-12 08:17:00,2012-07-12 12:56:00,339.0
2012-07-13 04:29:00,2012-07-13 21:49:00,1100.0
2012-07-15 06:18:00,2012-07-15 23:32:00,1094.0
2012-07-17 12:32:00,2012-07-18 12:59:00,1527.0
2012-07-20 03:55:00,2012-07-21 10:17:00,1882.0
2012-07-22 00:10:00,2012-07-27 21:31:00,8541.0
2012-07-29 01:31:00,2012-07-29 07:44:00,433.0
2012-07-31 18:05:00,2012-08-02 09:42:00,2437.0
2012-08-03 01:26:00,2012-08-03 16:17:00,951.0
2012-08-04 06:46:00,2012-08-04 12:35:00,409.0
2012-08-05 16:53:00,2012-08-06 03:39:00,706.0
2012-08-06 21:08:00,2012-08-07 02:50:00,402.0
2012-08-08 02:36:00,2012-08-10 18:00:00,3864.0
2012-08-11 07:04:00,2012-08-16 10:19:00,7455.0
2012-08-17 02:41:00,2012-08-22 02:02:00,7221.0
2012-08-22 16:01:00,2012-08-22 23:50:00,529.0
2012-08-23 21:59:00,2012-08-25 07:54:00,2095.0
2012-08-26 04:28:00,2012-08-26 09:39:00,371.0
2012-08-27 01:17:00,2012-08-28 13:46:00,2249.0
2012-08-29 03:11:00,2012-08-30 09:44:00,1893.0
2012-08-30 23:07:00,2012-09-06 22:23:00,10096.0
2012-09-07 12:16:00,2012-09-11 04:20:00,5344.0
2012-09-12 07:03:00,2012-09-12 15:40:00,577.0
2012-09-13 04:57:00,2012-09-14 08:59:00,1742.0
2012-09-15 06:27:00,2012-09-17 03:46:00,2779.0
2012-09-17 17:00:00,2012-09-18 00:18:00,498.0
2012-09-19 06:06:00,2012-09-19 14:24:00,558.0
2012-09-20 03:29:00,2012-09-20 10:12:00,463.0
2012-09-22 04:49:00,2012-09-22 12:07:00,498.0
2012-09-23 01:14:00,2012-09-24 08:08:00,1914.0
2012-09-25 20:48:00,2012-09-26 08:11:00,743.0
2012-09-27 03:19:00,2012-09-27 11:32:00,553.0
2012-09-28 22:19:00,2012-09-29 01:54:00,275.0
2012-09-29 23:58:00,2012-09-30 21:54:00,1376.0
2012-10-01 11:14:00,2012-10-01 17:10:00,416.0
2012-10-02 16:19:00,2012-10-03 11:35:00,1216.0
2012-10-04 14:49:00,2012-10-05 08:41:00,1132.0
2012-10-06 03:40:00,2012-10-06 07:11:00,271.0
2012-10-06 23:35:00,2012-10-07 10:32:00,717.0
2012-10-08 01:53:00,2012-10-08 21:55:00,1262.0
2012-10-09 11:12:00,2012-10-10 02:54:00,1002.0
2012-10-10 17:57:00,2012-10-11 09:40:00,1003.0
2012-10-12 00:41:00,2012-10-12 17:37:00,1076.0
2012-10-15 00:14:00,2012-10-16 12:20:00,2226.0
2012-10-17 10:58:00,2012-10-17 23:59:00,841.0
2012-10-18 15:12:00,2012-10-19 02:09:00,717.0
2012-10-19 22:30:00,2012-10-21 11:10:00,2260.0
2012-10-22 11:49:00,2012-10-25 01:25:00,3756.0
2012-10-25 14:59:00,2012-10-27 13:07:00,2828.0
2012-10-28 03:18:00,2012-10-29 04:08:00,1550.0
2012-10-30 10:41:00,2012-11-01 18:08:00,3387.0
2012-11-04 16:24:00,2012-11-04 21:44:00,380.0
2012-11-06 05:13:00,2012-11-06 11:54:00,461.0
2012-11-07 07:56:00,2012-11-08 01:00:00,1084.0
2012-11-09 00:14:00,2012-11-10 04:15:00,1741.0
2012-11-10 18:00:00,2012-11-10 21:31:00,271.0
2012-11-11 12:15:00,2012-11-12 11:06:00,1431.0
2012-11-13 00:13:00,2012-11-23 14:27:00,15314.0
2012-11-24 06:06:00,2012-11-25 08:14:00,1628.0
2012-11-26 13:55:00,2012-11-27 02:39:00,824.0
2012-11-28 06:59:00,2012-11-28 20:52:00,893.0
2012-11-30 10:08:00,2012-12-01 20:50:00,2142.0
2012-12-02 19:15:00,2012-12-03 21:46:00,1651.0
2012-12-05 00:28:00,2012-12-09 02:10:00,5922.0
2012-12-10 10:59:00,2012-12-10 13:08:00,189.0
2012-12-11 06:01:00,2012-12-14 21:42:00,5321.0
2012-12-16 09:43:00,2012-12-16 15:13:00,390.0
2012-12-17 16:08:00,2012-12-22 23:13:00,7685.0
2012-12-24 02:25:00,2012-12-24 16:01:00,876.0
2012-12-25 10:10:00,2012-12-25 12:32:00,202.0
2012-12-27 23:26:00,2012-12-28 18:06:00,1180.0
2012-12-29 19:40:00,2012-12-30 09:13:00,873.0
2013-01-01 15:01:00,2013-01-02 00:36:00,635.0
2013-01-02 14:31:00,2013-01-02 21:00:00,449.0
2013-01-03 17:59:00,2013-01-04 06:56:00,837.0
2013-01-04 20:45:00,2013-01-07 22:14:00,4469.0
2013-01-08 15:14:00,2013-01-09 04:57:00,883.0
2013-01-10 01:40:00,2013-01-10 13:57:00,797.0
2013-01-11 04:31:00,2013-01-11 07:00:00,209.0
2013-01-12 11:25:00,2013-01-14 00:00:00,2255.0
2013-01-15 11:53:00,2013-01-26 16:07:00,16154.0
2013-01-28 05:31:00,2013-01-28 23:35:00,1144.0
2013-01-29 19:21:00,2013-01-29 20:34:00,133.0
2013-01-30 20:49:00,2013-01-30 22:13:00,144.0
2013-02-01 03:40:00,2013-02-01 05:52:00,192.0
2013-02-01 21:09:00,2013-02-01 22:20:00,131.0
2013-02-02 14:18:00,2013-02-03 13:29:00,1451.0
2013-02-06 15:46:00,2013-02-06 21:32:00,406.0
2013-02-07 11:27:00,2013-02-08 03:46:00,1039.0
2013-02-08 21:07:00,2013-02-18 12:29:00,13942.0
2013-02-19 13:31:00,2013-02-24 16:52:00,7461.0
2013-02-25 09:40:00,2013-03-13 00:52:00,22572.0
2013-03-13 14:30:00,2013-03-16 12:31:00,4261.0
2013-03-17 03:05:00,2013-03-18 09:45:00,1900.0
2013-03-19 00:06:00,2013-03-19 05:32:00,386.0
2013-03-19 21:45:00,2013-03-20 02:40:00,355.0
2013-03-21 04:18:00,2013-03-29 01:02:00,11384.0
2013-03-29 14:29:00,2013-03-29 20:10:00,401.0
2013-03-30 09:50:00,2013-03-30 16:29:00,459.0
2013-03-31 07:13:00,2013-04-07 13:30:00,10517.0
2013-04-08 04:34:00,2013-04-10 11:29:00,3355.0
2013-04-11 10:59:00,2013-04-11 13:33:00,214.0
2013-04-12 10:35:00,2013-04-12 23:29:00,834.0
2013-04-13 14:35:00,2013-04-15 14:43:00,2948.0
2013-04-16 03:56:00,2013-04-16 14:23:00,687.0
2013-04-17 03:30:00,2013-04-17 19:14:00,1004.0
2013-04-18 10:56:00,2013-04-22 02:38:00,5322.0
2013-04-22 19:29:00,2013-04-23 02:14:00,465.0
2013-04-23 16:45:00,2013-04-24 17:15:00,1530.0
2013-04-25 07:09:00,2013-04-25 16:46:00,637.0
2013-04-26 15:52:00,2013-05-08 02:14:00,16522.0
2013-05-09 04:25:00,2013-05-10 12:07:00,1962.0
2013-05-11 01:22:00,2013-05-11 17:43:00,1041.0
2013-05-12 20:30:00,2013-05-13 10:37:00,907.0
2013-05-14 18:24:00,2013-05-15 17:29:00,1445.0
2013-05-16 11:20:00,2013-05-17 02:18:00,958.0
2013-05-17 16:40:00,2013-05-19 16:34:00,2934.0
2013-05-20 06:57:00,2013-05-21 13:11:00,1874.0
2013-05-23 02:06:00,2013-05-25 01:58:00,2932.0
2013-05-25 20:31:00,2013-05-26 17:39:00,1328.0
2013-05-27 12:13:00,2013-05-28 15:19:00,1686.0
2013-05-29 05:40:00,2013-05-29 09:22:00,282.0
2013-05-30 02:26:00,2013-06-12 23:20:00,20034.0
2013-06-14 19:23:00,2013-06-15 12:53:00,1110.0
2013-06-16 22:58:00,2013-06-19 03:39:00,3221.0
2013-06-20 10:55:00,2013-06-21 10:20:00,1465.0
2013-06-24 04:06:00,2013-06-27 07:36:00,4590.0
2013-06-29 21:12:00,2013-07-24 23:35:00,36203.0
2013-07-25 22:46:00,2013-07-27 17:33:00,2627.0
2013-07-28 19:44:00,2013-07-30 21:26:00,3042.0
2013-07-31 23:03:00,2013-08-01 06:12:00,489.0
2013-08-01 19:41:00,2013-08-06 02:45:00,6244.0
2013-08-06 17:52:00,2013-08-07 22:49:00,1797.0
2013-08-08 16:11:00,2013-08-10 14:12:00,2821.0
2013-08-11 03:37:00,2013-08-11 15:20:00,763.0
2013-08-13 05:13:00,2013-08-13 09:14:00,301.0
2013-08-13 22:18:00,2013-08-15 21:52:00,2914.0
2013-08-16 11:20:00,2013-08-16 16:24:00,364.0
2013-08-17 19:56:00,2013-08-18 08:37:00,821.0
2013-08-18 21:53:00,2013-08-30 05:51:00,16378.0
2013-08-31 01:43:00,2013-08-31 08:06:00,443.0
2013-08-31 22:59:00,2013-09-01 08:31:00,632.0
2013-09-03 12:32:00,2013-09-08 16:35:00,7503.0
2013-09-10 04:51:00,2013-09-10 13:42:00,591.0
2013-09-11 14:15:00,2013-09-12 00:59:00,704.0
2013-09-13 02:24:00,2013-09-14 16:26:00,2342.0
2013-09-15 12:04:00,2013-09-15 21:22:00,618.0
2013-09-17 02:31:00,2013-09-17 14:05:00,754.0
2013-09-18 09:51:00,2013-09-18 12:36:00,225.0
2013-09-19 05:07:00,2013-09-19 22:02:00,1075.0
2013-09-20 13:03:00,2013-09-25 18:25:00,7582.0
2013-09-26 13:40:00,2013-10-04 14:55:00,11655.0
2013-10-05 04:18:00,2013-10-09 15:33:00,6495.0
2013-10-10 07:19:00,2013-10-12 23:40:00,3921.0
2013-10-13 13:35:00,2013-10-15 12:34:00,2879.0
2013-10-16 03:07:00,2013-10-17 02:03:00,1436.0
2013-10-18 06:19:00,2013-10-19 09:56:00,1717.0
2013-10-20 16:15:00,2013-10-21 01:59:00,644.0
2013-10-22 12:41:00,2013-10-23 02:20:00,879.0
2013-10-24 02:54:00,2013-10-25 18:22:00,2428.0
2013-10-26 07:42:00,2013-10-26 17:30:00,648.0
2013-10-27 07:13:00,2013-10-27 10:35:00,262.0
2013-10-30 22:32:00,2013-10-31 14:49:00,1037.0
2013-11-05 00:11:00,2013-11-06 01:16:00,1565.0
2013-11-06 20:42:00,2013-11-07 10:34:00,892.0
2013-11-08 00:14:00,2013-11-09 01:16:00,1562.0
